--- Simulation details ---

Horizon 0, [<2, [1, 1]>, 1], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1099, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1099, evb: 0.00000
Horizon 0, [<2, [1, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.1099, evb: 0.00000
Horizon 0, [<3, [1, 1]>, 1], q_old: 0.00, q_new: 0.61, gain: -0.0490, need: 0.0763, evb: -0.00374
Horizon 0, [<3, [1, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0490, need: 0.0763, evb: -0.00374
Horizon 0, [<3, [1, 1]>, 3], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.0763, evb: 0.00000
Horizon 0, [<4, [1, 1]>, 1], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0710, evb: 0.00000
Horizon 0, [<4, [1, 1]>, 2], q_old: 0.00, q_new: 0.72, gain: -0.0358, need: 0.0710, evb: -0.00254
Horizon 0, [<4, [1, 1]>, 3], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.0710, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 0], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.3915, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 1], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.3915, evb: 0.00000
Horizon 0, [<6, [1, 1]>, 3], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.3915, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 0], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1795, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 2], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.1795, evb: 0.00000
Horizon 0, [<7, [1, 1]>, 3], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.1795, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 0], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0867, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 2], q_old: 0.44, q_new: 0.44, gain: 0.0000, need: 0.0867, evb: 0.00000
Horizon 0, [<8, [1, 1]>, 3], q_old: 0.61, q_new: 0.61, gain: 0.0000, need: 0.0867, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 0], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0359, evb: 0.00000
Horizon 0, [<9, [1, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0359, evb: 0.00000
