--- Simulation details ---

Horizon 0, [<26, [1, 1]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.1555, evb: 0.00000
Horizon 0, [<26, [1, 1]>, 2], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 1.1555, evb: 0.00000
Horizon 0, [<26, [1, 1]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.1555, evb: 0.00000
Horizon 0, [<27, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.1863, evb: 0.00000
Horizon 0, [<27, [1, 1]>, 3], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.1863, evb: 0.00000
Horizon 0, [<28, [1, 1]>, 2], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.0348, evb: 0.00000
Horizon 0, [<28, [1, 1]>, 3], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.0348, evb: 0.00000
Horizon 0, [<29, [1, 1]>, 0], q_old: 0.38, q_new: 0.38, gain: 0.0000, need: 0.0238, evb: 0.00000
Horizon 0, [<29, [1, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.0238, evb: 0.00000
Horizon 0, [<29, [1, 1]>, 2], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.0238, evb: 0.00000
Horizon 0, [<32, [1, 1]>, 0], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 0.1868, evb: 0.00000
Horizon 0, [<35, [1, 1]>, 0], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 0.0056, evb: 0.00000

Replay [<26, [1, 1]>, 0] horizon 0, belief , q_old: 0.23, q_new: 0.31, evb: 0.00374

Horizon 2, [<8, [2, 1]>, 0], q_old: 1.00, q_new: 1.00, gain: 0.0000, need: 0.3701, evb: 0.00000
Horizon 2, [<8, [2, 1]>, 1], q_old: 0.00, q_new: 0.72, gain: -0.0268, need: 0.3701, evb: -0.00993
Horizon 2, [<8, [2, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.3701, evb: 0.00000
Horizon 2, [<20, [2, 1]>, 0], q_old: 0.48, q_new: 0.48, gain: 0.0000, need: 1.8752, evb: 0.00000
Horizon 2, [<20, [2, 1]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 1.8752, evb: 0.00000
Horizon 2, [<13, [2, 1]>, 2], q_old: 0.52, q_new: 0.52, gain: 0.0000, need: 0.0423, evb: 0.00000
Horizon 2, [<13, [2, 1]>, 3], q_old: 0.72, q_new: 0.72, gain: 0.0000, need: 0.0423, evb: 0.00000
Horizon 2, [<14, [2, 2]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.4179, evb: 0.00000
Horizon 2, [<14, [2, 2]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 0.4179, evb: 0.00000
Horizon 2, [<14, [2, 2]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0357, need: 0.4179, evb: -0.01491
Horizon 2, [<20, [1, 3]>, 0], q_old: 0.00, q_new: 0.18, gain: -0.0198, need: 1.8752, evb: -0.03709
Horizon 2, [<20, [1, 3]>, 1], q_old: 0.27, q_new: 0.27, gain: 0.0000, need: 1.8752, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 0], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.2326, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 1], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.2326, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 2], q_old: 0.32, q_new: 0.32, gain: 0.0000, need: 1.2326, evb: 0.00000
Horizon 2, [<26, [1, 2]>, 3], q_old: 0.23, q_new: 0.23, gain: 0.0000, need: 1.2326, evb: 0.00000
Horizon 1, [<14, [2, 1]>, 0], q_old: 0.85, q_new: 0.85, gain: 0.0000, need: 0.4179, evb: 0.00000
Horizon 1, [<14, [2, 1]>, 1], q_old: 0.23, q_new: 0.41, gain: -0.0134, need: 0.4179, evb: -0.00562
Horizon 1, [<14, [2, 1]>, 2], q_old: 0.00, q_new: 0.61, gain: -0.0357, need: 0.4179, evb: -0.01491
